period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,15,新潟県,25,技能実習２号イ,22,False
2016-12,2016-12-31,15,新潟県,26,技能実習２号ロ,1226,False
2016-12,2016-12-31,15,新潟県,29,文化活動,22,False
2016-12,2016-12-31,15,新潟県,31,留学,2286,False
2016-12,2016-12-31,15,新潟県,32,研修,4,False
2016-12,2016-12-31,15,新潟県,33,家族滞在,766,False
2016-12,2016-12-31,15,新潟県,34,特定活動,251,False
2016-12,2016-12-31,15,新潟県,35,永住者,4939,False
2016-12,2016-12-31,15,新潟県,36,日本人の配偶者等,1167,False
2016-12,2016-12-31,15,新潟県,37,永住者の配偶者等,95,False
2016-12,2016-12-31,15,新潟県,38,定住者,623,False
2016-12,2016-12-31,15,新潟県,39,特別永住者,1085,False
2016-12,2016-12-31,16,富山県,03,教授,34,False
2016-12,2016-12-31,16,富山県,04,芸術,2,False
2016-12,2016-12-31,16,富山県,05,宗教,12,False
2016-12,2016-12-31,16,富山県,07,高度専門職１号イ,7,False
2016-12,2016-12-31,16,富山県,08,高度専門職１号ロ,4,False
2016-12,2016-12-31,16,富山県,11,経営・管理,107,False
2016-12,2016-12-31,16,富山県,13,医療,3,False
2016-12,2016-12-31,16,富山県,14,研究,6,False
2016-12,2016-12-31,16,富山県,15,教育,120,False
2016-12,2016-12-31,16,富山県,16,技術・人文知識・国際業務,601,False
2016-12,2016-12-31,16,富山県,17,企業内転勤,60,False
2016-12,2016-12-31,16,富山県,19,興行,8,False
2016-12,2016-12-31,16,富山県,20,技能,154,False
2016-12,2016-12-31,16,富山県,23,技能実習１号イ,87,False
2016-12,2016-12-31,16,富山県,24,技能実習１号ロ,1715,False
2016-12,2016-12-31,16,富山県,25,技能実習２号イ,64,False
2016-12,2016-12-31,16,富山県,26,技能実習２号ロ,2248,False
2016-12,2016-12-31,16,富山県,29,文化活動,8,False
2016-12,2016-12-31,16,富山県,31,留学,655,False
2016-12,2016-12-31,16,富山県,32,研修,27,False
2016-12,2016-12-31,16,富山県,33,家族滞在,740,False
2016-12,2016-12-31,16,富山県,34,特定活動,176,False
2016-12,2016-12-31,16,富山県,35,永住者,5031,False
2016-12,2016-12-31,16,富山県,36,日本人の配偶者等,899,False
2016-12,2016-12-31,16,富山県,37,永住者の配偶者等,206,False
2016-12,2016-12-31,16,富山県,38,定住者,1290,False
2016-12,2016-12-31,16,富山県,39,特別永住者,788,False
2016-12,2016-12-31,17,石川県,03,教授,129,False
2016-12,2016-12-31,17,石川県,04,芸術,2,False
