speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
堀井巌,ほりいいわお,参議院,自由民主党・こころ,,1,2017-05-16,2017-05-16,堀井巌,奈良県,,ok,wikipedia,
稲山博司,,参議院,,総務大臣官房総括審議官,1,2017-04-06,2017-04-06,稲山博司,,,no_district,,
安田充,,衆議院,,総務省大臣官房総括審議官,1,2015-05-29,2015-05-29,安田充,,,no_district,,
伯井美徳,,衆議院,,文部科学省大臣官房審議官,1,2015-04-07,2015-04-07,伯井美徳,,,no_district,,
藤谷光信,ふじたにこうしん,参議院,民主党・新緑風会,,1,2013-05-09,2013-05-09,藤谷光信,全国,比例区,ok,wikipedia,
塩村あやか,しおむらあやか,参議院,立憲民主・社民,,1,2023-12-06,2023-12-06,塩村文夏,東京都,,ok,wikipedia,
田畑毅,たばたつよし,衆議院,自由民主党,,1,2018-02-26,2018-02-26,田畑毅,全国,比例区,ok,wikipedia,
升田世喜男,ますたせきお,衆議院,維新の党,,1,2015-07-01,2015-07-01,升田世喜男,全国,比例区,ok,wikipedia,
杉田水脈,すぎたみお,衆議院,日本維新の会,,1,2014-02-25,2014-02-25,杉田水脈,全国,比例区,ok,wikipedia,
江口克彦,えぐちかつひこ,参議院,みんなの党,,1,2013-05-23,2013-05-23,江口克彦,全国,比例区,ok,wikipedia,
高木宏壽,たかぎひろひさ,衆議院,自由民主党,,1,2014-04-16,2014-04-16,高木宏壽,北海道,第3区,ok,wikipedia,
川端達夫,かわばたたつお,参議院,民主党・無所属クラブ,総務大臣・内閣府特命担当大臣（沖縄及び北方対策・地域主権推進）,1,2012-08-28,2012-08-28,川端達夫,全国,比例区,ok,wikipedia,
